materials-id,composition,target
0,TiCuSiAs,False
1,DyB6,False
2,Be2OsRu,False
3,KBi,False
4,VSe2,False
5,TbMnSi,False
6,Ba4NaBi,False
7,SrFeO3,False
8,LuNi4Sn,False
9,MoW3Se2S6,False
10,Ba4CeMn3O12,False
11,Fe2SiO4,False
12,Ba14Na14LiN6,False
13,Ag2IO6,False
14,Li4Mn3Cr3O12,False
15,CdAs2O6,False
16,FeOF,False
17,Na2CuO2,False
18,SmSb12Os4,False
19,Mo3WSe6S2,False
20,PdSe8Cl2,False
21,BaGe2,False
22,Te2Mo2WSe2S2,False
23,LiSbF6,True
24,AlAs,False
25,SrB6,False
26,SiS,False
27,Ce2Al16Pt9,False
28,Na2Si2Se5,False
29,NaI,True
30,LiMn5O3F5,False
31,YCoC2,False
32,Rb2PdI6,True
33,TbTaO4,False
34,Ni3Te2,False
35,FeH8Cl2O4,False
36,Ba4TaZn,False
37,Ba4CaRe,False
38,Ba4TeSe,False
39,Ba4NaGe,True
40,Ba4HgPb,False
41,Bi3Sb,False
42,Ba4YNb,False
43,K4MnMo4O15,False
44,Ba4LiHf,False
45,Rb2GeB4O9,False
46,BeReBi4,False
47,Ca4BeW,False
48,Na2Cr2O7,False
49,BeCu4W,False
50,Ce3Si8Ni2,False
51,SrV4Bi6O20,False
52,RbVF3,False
53,Sr2Ti2As2OF2,False
54,YMg,False
55,NiN6Cl2,False
56,MnOF,False
57,Te6Mo3WSe2,False
58,Ba4MgBi,True
59,KBaZn,True
60,Ba4MnW,False
61,Ba4VSe,False
62,Ba4TaIn,False
63,TiCrAgS4,False
64,Ba4NbBi,False
65,Ba4CaSn,True
66,KMoP2O8,False
67,Ba4HgSb,True
68,UNiSn,False
69,Ba4CdSe,False
70,MnBeIr4,False
71,LiO,False
72,USb,False
73,MnCoO4,False
74,LaAlH6,False
75,Rb2MnCl6,False
76,Ag2F5,False
77,CeTiO3,False
78,Te2MoWSeS,False
79,LiSiCu2,False
80,Zn2Ga2S5,False
81,SrO,True
82,Li2VO2F,False
83,NaVO2,False
84,Nb3Si,False
85,CSO,False
86,LiNiO2,False
87,Te4MoW,False
88,SnHgO3,False
89,PbBr2,False
90,Fe2B,False
91,HgHClO4,False
92,YbAsPd,False
93,EuCuBi,False
94,LiFeF3,False
95,K2TcCl6,False
96,SmSb2Au,False
97,LaMgSi2,False
98,V6O7F5,False
99,Nd3S2Br5,False
100,Ho3Co2Ge4,False
101,YAl3,False
102,Sr2TaN3,False
103,Ba4YRh,False
104,BaSm2CoO5,False
105,LiTaO3,False
106,BiClO,False
107,CrS2,False
108,Li2MnCuO4,False
109,Ba4VMo,False
110,Sm2SeO2,False
111,PdF3,False
112,HfTlCuS3,False
113,LiYSe2,False
114,NaFePO4,False
115,LiNiN,False
116,MgIn2O4,False
117,LiH4SNO4,False
118,YbNi5,False
119,Ba4TiNb,False
120,LiCuS,False
121,Ba4NaRh,False
122,ZrSn,False
123,AlInO3,False
124,Ba4ZrTi,False
125,LiAgF2,False
126,Ba4BiTe,False
127,Ba4MgGe,False
128,Ba4LiRh,False
129,YTi,False
130,KBaNb,False
131,Mg3In,False
132,Ho6ReO12,False
133,Zr5Sb4,False
134,Ba4NbHg,False
135,RbTaO3,False
136,PH5N2O4,False
137,AlFeO3,False
138,Ba4MgIn,True
139,Ba4MgTc,False
140,K3CaP2HO8,False
141,Ba9Y2Si6O24,False
142,Sm2ZnS4,False
143,Li2FeO2F,False
144,VS2,False
145,LiCu2F6,False
146,HfSnRh,False
147,Ba4HfCl,False
148,Li4VCr3O8,False
149,Mg6ZnFe,True
150,Ba4ZrPb,False
151,Tb2SeO2,False
152,RbAuN12,False
153,Li3CrSiO5,False
154,BeCuPt,False
155,Mg3NiO4,False
156,Li5Ti2Co3O10,False
157,Tl2SnF6,True
158,NiSnF6,False
159,Ba4BeCr,False
160,La2PI2,False
161,LiVCuO4,False
162,Dy3Mn3Ga2Si,False
163,Ba2YBr7,False
164,Ba4TlZn,True
165,ScNiC2,False
166,Li4CuSi2O7,False
167,Sn3PO4F3,False
168,LiMn7O12,False
169,Zr2Bi2O7,False
170,WI3O,False
171,Sr5P3ClO12,False
172,Al6Fe,False
173,Na2CoO3,False
174,RbHSeO4,False
175,YSn3,False
176,FeO2,False
177,LuTaO4,False
178,CeAl2Zn2,False
179,Ca4Al6SO12,False
180,VH16C6N6O7F2,False
181,SbOF,False
182,LiSmAlF6,False
183,K4SrBe,True
184,LiMnPO4,False
185,LaMg7,True
186,Co3OF5,False
187,K2MnP2O7,False
188,LaFe5H2,False
189,FeP3O9,False
190,Sc3RhC4,False
191,V4O3F9,False
192,NaLi5N2,False
193,CoIN2O2,False
194,Na2TiO3,False
195,Li2CuO2,False
196,Li3CoOF3,False
197,TiCo3,False
198,LiFeCoO4,False
199,BaNiF6,True
200,Sr2H6Os,False
201,TiAlNi6,False
202,HfScCo2,False
203,LiFe2O2F3,False
204,BeTl4W,False
205,Ni2Sn4Au,False
206,NdMgSi2,False
207,Ba4LaGe,False
208,Ce2Nd2O7,False
209,YbIn2Pt,False
210,KGaCl4,True
211,LaZn5,False
212,Tc3Pd,False
213,La4Ni3O8,False
214,Fe11Co5,False
215,Mn6O7F5,False
216,TbB3O6,False
217,VOF3,False
218,PrAlH6,False
219,Li2Mn2F7,False
220,P6H24N6O19,False
221,RbAlO3,False
222,Ba2MgH6,False
223,LiYO3,False
224,Tl6TeO6,False
225,RePbClO4,False
226,RbF3,False
227,RbBi,False
228,KH2I3O,False
229,HoCoSi2,False
230,RbLiO3,False
231,V2O3F,False
232,LiHS,False
