materials-id,composition,target
0,Ac1Ag1,TRUE
1,Ac1Ag1Au2,TRUE
2,Ac1Ag1Hg2,FALSE
3,Ac1Ag1Te2,TRUE
4,Ac1Ag2Cd1,TRUE
5,Ac1Ag2In1,TRUE
6,Ac1Ag2Pb1,TRUE
7,Ac1Ag2Sn1,TRUE
8,Ac1Ag2Tl1,TRUE
9,Ac1Ag2Yb1,TRUE
10,Ac1Ag3,TRUE
11,Ac1Al1Li2,FALSE
12,Ac1Al1O3,TRUE
13,Ac1Al3,TRUE
14,Ac1Au2Bi1,TRUE
15,Ac1Au2Ca1,TRUE
16,Ac1Au2Cd1,TRUE
17,Ac1Au2Eu1,TRUE
18,Ac1Au2Hg1,TRUE
19,Ac1Au2In1,TRUE
20,Ac1Au2Na1,TRUE
21,Ac1Au2Pb1,TRUE
22,Ac1Au2Sb1,TRUE
23,Ac1Au2Sn1,TRUE
24,Ac1Au2Sr1,TRUE
25,Ac1Au2Tl1,TRUE
26,Ac1Au2Yb1,TRUE
27,Ac1Au2Zn1,FALSE
28,Ac1Au3,TRUE
29,Ac1B1O3,FALSE
30,Ac1Ba3,FALSE
31,Ac1Br1O1,TRUE
32,Ac1Br3,TRUE
33,Ac1Ca1Ga2,TRUE
34,Ac1Ca1Hg2,TRUE
35,Ac1Ca1In2,TRUE
36,Ac1Ca1Mg2,TRUE
37,Ac1Ca1Rh2,TRUE
38,Ac1Ca1Tl2,TRUE
39,Ac1Ca1Zn2,TRUE
40,Ac1Ca3,FALSE
41,Ac1Cd1Hg2,TRUE
42,Ac1Cd1Rh2,TRUE
43,Ac1Cd1Zn2,FALSE
44,Ac1Cd2La1,TRUE
45,Ac1Cd2Mg1,TRUE
46,Ac1Cd2Sr1,TRUE
47,Ac1Cd2Yb1,TRUE
48,Ac1Cd3,TRUE
49,Ac1Ce1Mg2,FALSE
50,Ac1Ce3,FALSE
51,Ac1Cl1O1,TRUE
52,Ac1Cl3,TRUE
53,Ac1Cr1O3,TRUE
54,Ac1Cs1,FALSE
55,Ac1Cs1Te2,TRUE
56,Ac1Cs3,FALSE
57,Ac1Cu1F1O2,FALSE
58,Ac1Cu1O3,TRUE
59,Ac1Cu3,TRUE
60,Ac1Dy3,FALSE
61,Ac1Er3,FALSE
62,Ac1Eu1Mg2,FALSE
63,Ac1Eu1Zn2,TRUE
64,Ac1Eu3,FALSE
65,Ac1F1O1,TRUE
66,Ac1F3,TRUE
67,Ac1Fe1O3,TRUE
