materials-id,composition,target
53004,F5V1,True
63144,Hg1In2Pb1,False
67395,K2N2O10Os1,False
35070,Cl11Hg5K1,False
7616,As1Au1F9Sb1,False
66846,K1Mo3Te3,True
42895,Cr2Ni1Se4,False
38468,Co1Fe9Li10O20,False
25223,C1Cu1Na3O7P1,False
53041,F6Fe1Zr1,False
80990,O7Te3Tl2,False
28776,C6K4N6O2Ru1,False
3397,Al1Ba2Cu1F9,False
47533,Cu2O5S1,False
10673,Au1Cu1Tm2,False
51268,Eu5F1O12P3,True
19590,Ba5Cl2O9Ru2,True
79684,O24P6V4Zn1,False
60752,Ge7H18O23,False
61173,H1La1O2,True
40626,Co3Li4O15P4,False
55315,Fe1Rb1Se2,True
15197,B6Bi3O14,False
4236,Al1F1Fe4Hg2O2,False
31412,Ca3Fe2Mo2O12,False
4750,Al1Li1Mo2O8,False
44928,Cs2Se5Si2,True
23690,Br3Cs1Tm1,False
32350,Cd1Eu1Sn1,True
41846,Cr1K1O7V2,False
62527,H8O10P2Zn1,False
10121,As6Ba1Pt4,True
43317,Cr3O24P6Ti4,False
32347,Cd1Eu1Pb1,True
66701,K1Li1Na2O30Si12Zr2,False
34867,Ce3Zn22,False
73589,Mn1O4Rb1,True
60968,H12Na4O24P6Zn1,False
63208,Hg1Mg2,True
74760,Mo1Te2,True
23149,Br1H2Li2N1,False
25248,C1Dy1O4,False
33861,Ce1Ge1Pd2,False
10523,Au1Cl4K1O2,False
78828,Np1Pt3,True
54630,Fe1Li2Ni3O8,False
23653,Br3Cl4Cs1Mo3,True
45900,Cu1Ho1P2,True
27183,C2O6Rb1Sm1,True
65068,In1Ir1Y4,True
71178,Li4O12V5,False
17796,Ba2Ca3Mg2O16Si4Sr1,False
3380,Al1Ba1O3,False
67324,K2Mg5Sn3,True
38631,Co1H12Li2O14S2,False
76734,Na3Pu1,False
71401,Li6Mn5Ni3O16,False
22295,Bi2Sn1Te4,False
19056,Ba3La1Nb3O12,False
49317,Dy2Ni1Ru1,True
4663,Al1Ir1Mn1,False
14833,B4Na6O16S1Sb2,False
41624,Cr1Fe1S2,False
44788,Cs2Mo1O2S2,False
41690,Cr1Ga2Hf1,False
10312,Au1Bi1Ca2,True
49002,Dy1Ni1,True
60189,Ge2Pb1Sr2,False
44885,Cs2P2Pd1,True
22220,Bi2O6P1,False
21952,Bi2Cs3I9,True
46558,Cu1O12P4Zn1,False
