materials-id,composition,target
0,TiCuSiAs,False
2,Be2OsRu,False
3,KBi,False
5,TbMnSi,False
6,Ba4NaBi,False
7,SrFeO3,False
8,LuNi4Sn,False
10,Ba4CeMn3O12,False
11,Fe2SiO4,False
13,Ag2IO6,False
14,Li4Mn3Cr3O12,False
16,FeOF,False
19,Mo3WSe6S2,False
21,BaGe2,False
22,Te2Mo2WSe2S2,False
23,LiSbF6,True
24,AlAs,False
25,SrB6,False
27,Ce2Al16Pt9,False
28,Na2Si2Se5,False
30,LiMn5O3F5,False
32,Rb2PdI6,True
33,TbTaO4,False
34,Ni3Te2,False
35,FeH8Cl2O4,False
38,Ba4TeSe,False
39,Ba4NaGe,True
40,Ba4HgPb,False
41,Bi3Sb,False
42,Ba4YNb,False
43,K4MnMo4O15,False
44,Ba4LiHf,False
45,Rb2GeB4O9,False
46,BeReBi4,False
47,Ca4BeW,False
50,Ce3Si8Ni2,False
52,RbVF3,False
54,YMg,False
55,NiN6Cl2,False
56,MnOF,False
58,Ba4MgBi,True
59,KBaZn,True
61,Ba4VSe,False
65,Ba4CaSn,True
66,KMoP2O8,False
67,Ba4HgSb,True
69,Ba4CdSe,False
71,LiO,False
72,USb,False
73,MnCoO4,False
74,LaAlH6,False
75,Rb2MnCl6,False
77,CeTiO3,False
78,Te2MoWSeS,False
79,LiSiCu2,False
80,Zn2Ga2S5,False
82,Li2VO2F,False
85,CSO,False
87,Te4MoW,False
88,SnHgO3,False
89,PbBr2,False
90,Fe2B,False
91,HgHClO4,False
92,YbAsPd,False
93,EuCuBi,False
94,LiFeF3,False
95,K2TcCl6,False
96,SmSb2Au,False
97,LaMgSi2,False
100,Ho3Co2Ge4,False
101,YAl3,False
104,BaSm2CoO5,False
105,LiTaO3,False
106,BiClO,False
107,CrS2,False
108,Li2MnCuO4,False
109,Ba4VMo,False
112,HfTlCuS3,False
113,LiYSe2,False
115,LiNiN,False
116,MgIn2O4,False
117,LiH4SNO4,False
119,Ba4TiNb,False
120,LiCuS,False
126,Ba4BiTe,False
128,Ba4LiRh,False
130,KBaNb,False
131,Mg3In,False
134,Ba4NbHg,False
135,RbTaO3,False
136,PH5N2O4,False
137,AlFeO3,False
138,Ba4MgIn,True
140,K3CaP2HO8,False
143,Li2FeO2F,False
144,VS2,False
145,LiCu2F6,False
146,HfSnRh,False
148,Li4VCr3O8,False
149,Mg6ZnFe,True
150,Ba4ZrPb,False
151,Tb2SeO2,False
155,Mg3NiO4,False
156,Li5Ti2Co3O10,False
157,Tl2SnF6,True
158,NiSnF6,False
160,La2PI2,False
161,LiVCuO4,False
162,Dy3Mn3Ga2Si,False
163,Ba2YBr7,False
164,Ba4TlZn,True
165,ScNiC2,False
166,Li4CuSi2O7,False
