materials-id,composition,target,outer_split,cv_fold
0,TiCuSiAs,False,train,2
1,DyB6,False,test,
2,Be2OsRu,False,train,2
3,KBi,False,train,1
4,VSe2,False,train,0
5,TbMnSi,False,train,1
6,Ba4NaBi,False,train,1
7,SrFeO3,False,train,3
8,LuNi4Sn,False,train,4
9,MoW3Se2S6,False,train,0
10,Ba4CeMn3O12,False,train,4
11,Fe2SiO4,False,train,4
12,Ba14Na14LiN6,False,train,0
13,Ag2IO6,False,train,2
14,Li4Mn3Cr3O12,False,train,3
15,CdAs2O6,False,train,0
16,FeOF,False,train,4
17,Na2CuO2,False,train,0
18,SmSb12Os4,False,train,0
19,Mo3WSe6S2,False,train,4
20,PdSe8Cl2,False,train,0
21,BaGe2,False,train,3
22,Te2Mo2WSe2S2,False,train,1
23,LiSbF6,True,train,4
24,AlAs,False,train,1
25,SrB6,False,train,2
26,SiS,False,train,0
27,Ce2Al16Pt9,False,train,3
28,Na2Si2Se5,False,train,2
29,NaI,True,test,
30,LiMn5O3F5,False,train,4
31,YCoC2,False,train,0
32,Rb2PdI6,True,train,1
33,TbTaO4,False,train,4
34,Ni3Te2,False,train,2
35,FeH8Cl2O4,False,train,2
36,Ba4TaZn,False,train,0
37,Ba4CaRe,False,train,0
38,Ba4TeSe,False,train,1
39,Ba4NaGe,True,train,2
40,Ba4HgPb,False,train,3
41,Bi3Sb,False,train,1
42,Ba4YNb,False,train,2
43,K4MnMo4O15,False,train,2
44,Ba4LiHf,False,train,1
45,Rb2GeB4O9,False,train,3
46,BeReBi4,False,train,4
47,Ca4BeW,False,train,1
48,Na2Cr2O7,False,train,0
49,BeCu4W,False,train,0
50,Ce3Si8Ni2,False,train,4
51,SrV4Bi6O20,False,test,
52,RbVF3,False,train,2
53,Sr2Ti2As2OF2,False,train,0
54,YMg,False,train,3
55,NiN6Cl2,False,train,1
56,MnOF,False,train,2
57,Te6Mo3WSe2,False,train,0
58,Ba4MgBi,True,train,2
59,KBaZn,True,train,3
60,Ba4MnW,False,train,0
61,Ba4VSe,False,train,3
62,Ba4TaIn,False,test,
63,TiCrAgS4,False,train,0
64,Ba4NbBi,False,train,0
65,Ba4CaSn,True,train,1
66,KMoP2O8,False,train,1
67,Ba4HgSb,True,train,1
68,UNiSn,False,test,
69,Ba4CdSe,False,train,2
70,MnBeIr4,False,train,0
71,LiO,False,train,2
72,USb,False,train,2
73,MnCoO4,False,train,1
74,LaAlH6,False,train,3
75,Rb2MnCl6,False,train,4
76,Ag2F5,False,train,0
77,CeTiO3,False,train,4
78,Te2MoWSeS,False,train,1
79,LiSiCu2,False,train,4
80,Zn2Ga2S5,False,train,3
81,SrO,True,test,
82,Li2VO2F,False,train,3
83,NaVO2,False,train,0
84,Nb3Si,False,train,0
85,CSO,False,train,1
86,LiNiO2,False,test,
87,Te4MoW,False,train,3
88,SnHgO3,False,train,3
89,PbBr2,False,train,4
90,Fe2B,False,train,3
91,HgHClO4,False,train,1
92,YbAsPd,False,train,4
93,EuCuBi,False,train,1
94,LiFeF3,False,train,4
95,K2TcCl6,False,train,2
96,SmSb2Au,False,train,3
97,LaMgSi2,False,train,1
98,V6O7F5,False,train,0
99,Nd3S2Br5,False,train,0
100,Ho3Co2Ge4,False,train,4
101,YAl3,False,train,4
102,Sr2TaN3,False,train,0
103,Ba4YRh,False,train,0
104,BaSm2CoO5,False,train,3
105,LiTaO3,False,train,1
106,BiClO,False,train,3
107,CrS2,False,train,4
108,Li2MnCuO4,False,train,3
109,Ba4VMo,False,train,1
110,Sm2SeO2,False,train,0
111,PdF3,False,train,0
112,HfTlCuS3,False,train,3
113,LiYSe2,False,train,1
114,NaFePO4,False,train,0
115,LiNiN,False,train,1
116,MgIn2O4,False,train,2
117,LiH4SNO4,False,train,2
118,YbNi5,False,train,0
119,Ba4TiNb,False,train,2
120,LiCuS,False,train,1
121,Ba4NaRh,False,train,0
122,ZrSn,False,train,0
123,AlInO3,False,train,0
124,Ba4ZrTi,False,train,0
125,LiAgF2,False,test,
126,Ba4BiTe,False,train,3
127,Ba4MgGe,False,train,0
128,Ba4LiRh,False,train,3
129,YTi,False,train,0
130,KBaNb,False,train,3
131,Mg3In,False,train,1
132,Ho6ReO12,False,train,0
133,Zr5Sb4,False,train,0
134,Ba4NbHg,False,train,3
135,RbTaO3,False,train,2
136,PH5N2O4,False,train,3
137,AlFeO3,False,train,3
138,Ba4MgIn,True,train,3
139,Ba4MgTc,False,train,0
140,K3CaP2HO8,False,train,3
141,Ba9Y2Si6O24,False,test,
142,Sm2ZnS4,False,train,0
143,Li2FeO2F,False,train,2
144,VS2,False,train,3
145,LiCu2F6,False,train,4
146,HfSnRh,False,train,1
147,Ba4HfCl,False,train,0
148,Li4VCr3O8,False,train,2
149,Mg6ZnFe,True,train,3
150,Ba4ZrPb,False,train,1
151,Tb2SeO2,False,train,3
152,RbAuN12,False,train,0
153,Li3CrSiO5,False,train,0
154,BeCuPt,False,test,
155,Mg3NiO4,False,train,3
156,Li5Ti2Co3O10,False,train,4
157,Tl2SnF6,True,train,1
158,NiSnF6,False,train,2
159,Ba4BeCr,False,test,
160,La2PI2,False,train,2
161,LiVCuO4,False,train,1
162,Dy3Mn3Ga2Si,False,train,4
163,Ba2YBr7,False,train,4
164,Ba4TlZn,True,train,4
165,ScNiC2,False,train,1
166,Li4CuSi2O7,False,train,2
167,Sn3PO4F3,False,train,0
168,LiMn7O12,False,train,2
169,Zr2Bi2O7,False,train,0
170,WI3O,False,train,0
171,Sr5P3ClO12,False,test,
172,Al6Fe,False,train,2
173,Na2CoO3,False,train,4
174,RbHSeO4,False,train,0
175,YSn3,False,train,2
176,FeO2,False,train,1
177,LuTaO4,False,train,3
178,CeAl2Zn2,False,train,0
179,Ca4Al6SO12,False,train,4
180,VH16C6N6O7F2,False,train,2
181,SbOF,False,train,0
182,LiSmAlF6,False,train,1
183,K4SrBe,True,train,1
184,LiMnPO4,False,train,4
185,LaMg7,True,train,4
186,Co3OF5,False,test,
187,K2MnP2O7,False,test,
188,LaFe5H2,False,train,1
189,FeP3O9,False,train,1
190,Sc3RhC4,False,train,4
191,V4O3F9,False,train,1
192,NaLi5N2,False,train,0
193,CoIN2O2,False,train,2
194,Na2TiO3,False,train,0
195,Li2CuO2,False,train,2
196,Li3CoOF3,False,train,2
197,TiCo3,False,train,1
198,LiFeCoO4,False,train,2
199,BaNiF6,True,train,4
200,Sr2H6Os,False,train,1
201,TiAlNi6,False,train,2
202,HfScCo2,False,test,
203,LiFe2O2F3,False,train,1
204,BeTl4W,False,train,4
205,Ni2Sn4Au,False,train,0
206,NdMgSi2,False,train,0
207,Ba4LaGe,False,train,3
208,Ce2Nd2O7,False,train,1
209,YbIn2Pt,False,train,1
210,KGaCl4,True,train,2
211,LaZn5,False,train,3
212,Tc3Pd,False,train,3
213,La4Ni3O8,False,train,0
214,Fe11Co5,False,train,2
215,Mn6O7F5,False,train,2
216,TbB3O6,False,train,1
217,VOF3,False,train,4
218,PrAlH6,False,train,2
219,Li2Mn2F7,False,train,3
220,P6H24N6O19,False,train,2
221,RbAlO3,False,test,
222,Ba2MgH6,False,train,0
223,LiYO3,False,train,3
224,Tl6TeO6,False,train,1
225,RePbClO4,False,train,2
226,RbF3,False,train,1
227,RbBi,False,train,4
228,KH2I3O,False,train,4
229,HoCoSi2,False,train,2
230,RbLiO3,False,train,3
231,V2O3F,False,train,2
232,LiHS,False,test,
233,MnSe2O6,False,train,2
234,UInPt,False,train,4
235,TiFeCoAs,False,test,
236,Yb2InCu2,True,train,3
237,BeNi4Ru,False,train,0
238,Eu2I2O,False,train,0
239,NaH2SO4,False,train,2
240,Ag3O4,False,train,2
241,CeN,False,train,3
242,LaIn5Co,False,train,2
243,SiC,False,train,4
244,Ba4ZrCu,False,train,3
245,Nb2FeO6,False,train,2
246,SiNi,False,train,2
247,ThTi2O6,False,train,3
248,Ba4TaCo,False,train,2
249,Mn2SiRu,False,train,1
250,Mn3Ga,False,train,1
251,TiFe2As,False,train,3
252,RbZnO3,False,test,
253,ThN,False,train,0
254,NaSrO3,False,train,1
255,Co3Bi,False,test,
256,Ti2GaFe,False,train,2
257,RbNiO3,False,train,3
258,BaNaSc,False,train,0
259,HoAg,False,train,4
260,RbF3,False,train,3
261,Ba4CuSe,False,train,3
262,TiFe2Sb,False,train,2
263,Ca3La3B5O15,False,test,
264,NdTe,False,train,1
265,La3CuSnS7,False,train,3
266,MoWSe2S2,False,train,4
267,RbCrF5,False,train,4
268,LaAs,False,train,4
269,Be2RuPb,False,train,1
270,Ba4NiBr,False,train,0
271,BaSrCd,False,train,0
272,TmFeO3,False,test,
273,RuPbO3,False,train,3
274,Ti2GaNi,False,train,2
275,Li2GaPt,False,test,
276,Ba4LiSn,False,train,4
277,VP4,False,train,3
278,Si2Ru,False,train,2
279,Ti3Ge,False,train,2
280,Ca3CdO4,False,train,2
281,LiAgF2,False,train,3
282,Mn2SnRu,False,train,2
283,Ti3Sn,False,train,4
284,Na3Hg2,True,test,
285,Ba4NbFe,False,train,4
286,Sc2MnGe,False,train,4
287,Ba4LaTc,False,train,3
288,MgMnRh2,False,train,1
289,Ba4LiPb,False,train,2
290,Ba4HfCu,False,train,3
291,Ba4TlTe,False,train,4
292,CdH4S2O5,False,train,2
293,Ti2InNi,False,train,1
294,Ba4BiPd,False,train,1
295,Ba4TiSe,False,train,0
296,AgNO3,False,train,2
297,Al9Co2,False,train,2
298,TlCoF3,False,train,2
299,HoMn12,False,test,
300,ErSbPd,False,train,1
301,Ba4GaCu,True,train,4
302,MnAgO2,False,train,4
303,Ba4ScNb,False,train,4
304,MnAuO2,False,train,0
305,VFeRu2,False,train,2
306,Ni3Hg,False,train,1
307,Li3P7,False,train,3
308,TeMoWSe2S,False,train,1
309,Be2TlIr,False,train,4
310,Mg4BeRu,False,train,1
311,MnAgO2,False,train,4
312,B2CN,False,train,3
313,MnAuO2,False,train,0
314,Na2LiAlP2,False,train,3
315,Ti4CuAg,False,train,1
316,K3Sb,False,train,3
317,TiS2,False,train,3
318,CdP2O6,False,train,4
319,PrMgAg,False,train,0
320,SrCaO3,False,train,1
321,KInO3,False,train,2
322,ZnTe,False,train,1
323,RbSrO3,False,train,1
324,Th3U,False,test,
325,RbCaO3,False,train,1
326,Mn3O4F2,False,train,4
327,Mn2FeO3,False,train,4
328,Te8Mo3W,False,train,4
329,Ba4CdSn,False,train,0
330,CrCuO2,False,train,0
331,FeAu3,False,train,4
332,Mg9Si5,False,train,4
333,NaCrO2,False,train,2
334,CoF2,False,train,1
335,LiGa2Rh,False,train,3
336,CoTe2,False,train,4
337,Zn2Ga2S5,False,train,2
338,Tl2MoO4,False,train,4
339,CeSi2Ir,False,train,1
340,KBaO3,False,train,3
341,RbBaO3,False,train,2
342,H4PbC2O6,False,train,2
343,BePd4Rh,False,train,4
344,HgBr2,True,train,1
345,SmSi2Rh3,False,train,2
346,CeSiIr,False,train,3
347,H3ClO5,False,train,3
348,Rb2O,False,train,0
349,Ba4CoW,False,train,1
350,BeTlSe4,False,train,0
351,Ba4ZrSn,False,train,3
352,Ba4TaBe,False,train,2
353,NdAlNi,False,train,1
354,K2O,False,train,0
355,CdI2,True,train,4
356,PrTiO3,False,train,4
357,LiCoO2,False,train,3
358,NiAgF3,True,train,3
359,K3CrO4,False,train,0
360,LiGa2Pd,False,train,1
361,Zn2AgAu,True,train,2
362,Li6TeO6,False,train,1
363,GeTe,False,train,2
364,BaAl4O7,False,train,4
365,V2CdP2O10,False,train,4
366,Na3CuO2,False,train,4
367,SrV6O11,False,test,
368,Li3TiP2O8,False,train,3
369,Te2Mo3S4,False,train,1
370,NdAl3Br12,False,train,1
371,Li3Fe5O10,False,train,0
