materials-id,composition,target
40257,YbTiO3,False
37020,YTcN3,False
51304,NdBS3,False
27071,KAuF4,True
37015,VMo,False
28937,AlCoO3,False
9257,Be2CrFe,False
10162,BeFe2Re,False
50967,CePr3,False
11509,BeNiGe2,False
35721,Sm3Sc,False
3794,CF2,False
37819,LiTiCoO4,False
8456,Be2InRe,False
47358,Ti2Sb,False
26128,ZnRh2O4,False
44432,LiRhF6,False
33594,Ba2InBrO3,False
50489,PuPt3,False
44830,Li3TaO4,False
37265,SmSnAu2,False
47005,MgCrO3,False
52171,KCu2S2O10,False
21154,Ca3MnO4,False
22492,HoTaO4,False
37881,Li3VPCO7,False
50921,RbS,False
26415,NdInAu2,False
4272,TaBeBr4,False
27096,NdTa3O9,False
1215,LaCuSb2,False
46936,Pm2PtRh,False
6007,Be2FeIr,False
48480,LiMn2P2H4O10,False
47040,Te5Mo4S3,False
4018,MgBeCu4,True
43811,Na2AgSbCl6,True
26480,In6TeO12,False
52707,Na2AgAs,False
7137,Al2O3,False
53439,LaAlO2,False
22478,CuBr,False
37305,TbH3,False
16770,Li3Eu,False
905,WSe2,False
46627,Pr2Au,False
118,YbNi5,False
32062,Er2ZnTc,False
53876,BeTeBr,False
33345,HoP2Ru2,False
15116,Li2NiSnO4,False
35296,MnAlPd2,False
24727,VO2,False
24521,YCoF5,False
41412,H8PtN2Cl2O2,False
34718,Lu2TlAg,False
25741,SbPO4,False
29899,ZnFeF4,True
3902,MgBIr,False
38019,TbKS2,False
24054,NaCuTe,True
48260,SbAsF,False
4504,NdCr2B6,False
50112,Li2MnCl4,False
7846,BeGaP,False
36575,NpP3,False
5379,BaCaTi,False
27969,ZrSbRu2,False
49317,Lu3BiRu4O14,False
8983,PrTaO4,False
52804,LiFe2O3,False
14506,Tb3Dy,False
46832,Dy3Co6Sn5,False
13745,Na2HfN2,False
35208,K3YB2O6,False
52979,Cu2SnSe3,False
2308,BaMg7,False
16711,AlInSb2,False
41848,NiB2O4,False
26983,YTlTe2,False
38013,Zn2PtRh,False
52667,BaYO,False
50925,Sr2PrFe3O9,False
34974,Sm3Cr,False
8980,MnBe2Cd,False
23814,NaRuO2,False
19965,CuS2,False
2998,Nb5Ge3,False
36293,NaTmO2,False
9362,Sr3MgPtO6,False
38930,Li2Si2Ni2O7,False
53620,InBr4O,False
14090,MgTi,False
38783,CeRh3C,False
38877,Ba2SbI,False
51809,TiNF,False
15540,ErTmPd2,False
104,BaSm2CoO5,False
31177,LiLuF4,True
11776,ReCl6,False
7785,YbGeIr,False
20053,PrCdAu,True
49566,Li7Mn5O12,False
48262,Rb2AlOF5,True
12361,Li8FeO5F,False
1071,Lu5NiPb3,False
12282,TbCaPd2,False
3461,Ca3SiBr2,False
6433,Sr2CuB2O6,False
9177,NpCr2Ge2,False
9016,HfBeCu,False
30502,TmAlSi,False
42924,Al3Ni2,False
11921,Na3LuSi2O7,False
6281,Tb2Al3Si2,False
51677,RbSnBr3,False
25853,ZnBi2O4,False
20146,K2NaAuF6,True
48733,Nb3IrSe8,False
307,Li3P7,False
35669,Tm5Sb3,False
19047,U3Al3CoRh2,False
35536,NaCdO3,False
23243,TaS2,False
32980,Al4Bi2O9,False
54123,Sr7CaIr2O12,False
43297,LiZnNi2,False
5862,Ba4HfTi,False
42886,CaPtO3,False
16655,CrS2,False
32431,SmAg2Sn,False
24784,Tl3PO4,False
31819,Yb3Sb5O12,False
464,SmCoSb2,False
5753,YBeMo,False
14938,CdBr2N2,False
37958,Li2MnF6,False
11764,BN,False
35586,AgSbTe2,False
