materials-id,composition,target
1,Ac1Ag1Au2,True
3,Ac1Ag1Te2,True
4,Ac1Ag2Cd1,True
5,Ac1Ag2In1,True
6,Ac1Ag2Pb1,True
9,Ac1Ag2Yb1,True
10,Ac1Ag3,True
11,Ac1Al1Li2,False
12,Ac1Al1O3,True
14,Ac1Au2Bi1,True
15,Ac1Au2Ca1,True
16,Ac1Au2Cd1,True
17,Ac1Au2Eu1,True
18,Ac1Au2Hg1,True
19,Ac1Au2In1,True
20,Ac1Au2Na1,True
21,Ac1Au2Pb1,True
22,Ac1Au2Sb1,True
23,Ac1Au2Sn1,True
24,Ac1Au2Sr1,True
25,Ac1Au2Tl1,True
26,Ac1Au2Yb1,True
27,Ac1Au2Zn1,False
28,Ac1Au3,True
30,Ac1Ba3,False
31,Ac1Br1O1,True
32,Ac1Br3,True
34,Ac1Ca1Hg2,True
35,Ac1Ca1In2,True
37,Ac1Ca1Rh2,True
39,Ac1Ca1Zn2,True
40,Ac1Ca3,False
41,Ac1Cd1Hg2,True
43,Ac1Cd1Zn2,False
44,Ac1Cd2La1,True
45,Ac1Cd2Mg1,True
46,Ac1Cd2Sr1,True
47,Ac1Cd2Yb1,True
48,Ac1Cd3,True
49,Ac1Ce1Mg2,False
50,Ac1Ce3,False
51,Ac1Cl1O1,True
52,Ac1Cl3,True
54,Ac1Cs1,False
56,Ac1Cs3,False
57,Ac1Cu1F1O2,False
58,Ac1Cu1O3,True
59,Ac1Cu3,True
63,Ac1Eu1Zn2,True
64,Ac1Eu3,False
65,Ac1F1O1,True
66,Ac1F3,True
68,Ac1Ga1O3,True
69,Ac1Ga1Te2,True
71,Ac1Ga2Yb1,True
73,Ac1Ge3,True
75,Ac1H3,True
76,Ac1Hg1Rh2,True
78,Ac1Hg2In1,True
79,Ac1Hg2Li1,True
80,Ac1Hg2Mg1,True
82,Ac1Hg2Sn1,True
83,Ac1Hg2Sr1,True
84,Ac1Hg2Tl1,True
85,Ac1Hg2Yb1,True
86,Ac1Hg3,True
87,Ac1I3,True
88,Ac1In1Li2,True
90,Ac1In1Zn2,False
91,Ac1In2Na1,False
93,Ac1In3,True
94,Ac1K1Te2,True
96,Ac1La1,False
97,Ac1La1Mg2,False
98,Ac1La3,False
99,Ac1Li1O3,False
100,Ac1Li1Rh2,True
102,Ac1Li1Tl2,True
103,Ac1Li2Pb1,True
104,Ac1Li2Sn1,True
105,Ac1Li2Tl1,True
107,Ac1Mg1,True
108,Ac1Mg149,True
110,Ac1Mg1Tl2,True
111,Ac1Mg1Zn2,True
112,Ac1Mg2Nd1,False
115,Ac1Mg3,False
116,Ac1Mg5,True
118,Ac1N1,True
119,Ac1Na1,False
120,Ac1Na1Te2,True
121,Ac1Na1Tl2,True
122,Ac1Nb3,False
123,Ac1Nd3,False
124,Ac1Ni1O3,True
126,Ac1O3Rb1,False
127,Ac1O3Sc1,False
128,Ac1O3Si1,False
129,Ac1O3Ti1,True
131,Ac1Pb1Rh2,True
132,Ac1Pd2Sn1,True
133,Ac1Pm3,False
134,Ac1Pr3,False
135,Ac1Rb1Te2,True
138,Ac1Rh2Yb1,True
139,Ac1Sc3,False
140,Ac1Se3,True
141,Ac1Si3,True
143,Ac1Sr1Tl2,True
144,Ac1Sr1Zn2,True
145,Ac1Sr3,False
146,Ac1Tb3,False
147,Ac1Te2Tl1,True
148,Ac1Te3,True
149,Ac1Th3,False
150,Ac1Tl2Yb1,True
151,Ac1Y3,False
152,Ac1Yb1Zn2,True
154,Ac1Zn3,True
156,Ac2Ag1Pb1,True
157,Ac2Au1Ir1,True
158,Ac2Au1Si1,True
160,Ac2Cd1Ga1,True
162,Ac2Cd1Hg1,True
163,Ac2Cd1Sn1,True
164,Ac2Cd1Tl1,True
165,Ac2Cu1Ga1,True
167,Ac2Cu1Ir1,True
169,Ac2Cu1Si1,True
170,Ac2Cu1Sn1,True
171,Ac2Ga1In1,True
173,Ac2Ga1Mg1,True
174,Ac2Ga1Si1,True
176,Ac2Ge1Hg1,True
178,Ac2Ge1Ni1,True
179,Ac2Ge1Pd1,True
182,Ac2Hg1Sn1,True
183,Ac2Hg1Zn1,True
184,Ac2In1Tl1,True
185,Ac2In1Zn1,True
186,Ac2Ir1Li1,True
188,Ac2Ir1Pd1,True
189,Ac2Ir1Rh1,True
190,Ac2Ir1Zn1,True
192,Ac2Li1Ru1,True
193,Ac2Li1Si1,True
194,Ac2Li1Sn1,False
195,Ac2Li1Tl1,False
197,Ac2Mg1Pb1,True
198,Ac2Mg1Sn1,True
199,Ac2Mg1Tl1,True
201,Ac2Na1Pb1,True
203,Ac2O3,True
204,Ac2Pd1Si1,True
206,Ac2Si1Zn1,True
209,Ac3Ag1,False
