materials-id,composition,target,outer_split,cv_fold
0,Ac1Ag1,True,train,0
1,Ac1Ag1Au2,True,train,2
2,Ac1Ag1Hg2,False,test,
3,Ac1Ag1Te2,True,train,2
4,Ac1Ag2Cd1,True,train,4
5,Ac1Ag2In1,True,train,3
6,Ac1Ag2Pb1,True,train,2
7,Ac1Ag2Sn1,True,train,0
8,Ac1Ag2Tl1,True,test,
9,Ac1Ag2Yb1,True,train,2
10,Ac1Ag3,True,train,2
11,Ac1Al1Li2,False,train,2
12,Ac1Al1O3,True,train,3
13,Ac1Al3,True,train,0
14,Ac1Au2Bi1,True,train,2
15,Ac1Au2Ca1,True,train,2
16,Ac1Au2Cd1,True,train,3
17,Ac1Au2Eu1,True,train,4
18,Ac1Au2Hg1,True,train,3
19,Ac1Au2In1,True,train,2
20,Ac1Au2Na1,True,train,4
21,Ac1Au2Pb1,True,train,2
22,Ac1Au2Sb1,True,train,4
23,Ac1Au2Sn1,True,train,3
24,Ac1Au2Sr1,True,train,2
25,Ac1Au2Tl1,True,train,2
26,Ac1Au2Yb1,True,train,4
27,Ac1Au2Zn1,False,train,2
28,Ac1Au3,True,train,1
29,Ac1B1O3,False,test,
30,Ac1Ba3,False,train,4
31,Ac1Br1O1,True,train,2
32,Ac1Br3,True,train,4
33,Ac1Ca1Ga2,True,train,0
34,Ac1Ca1Hg2,True,train,1
35,Ac1Ca1In2,True,train,1
36,Ac1Ca1Mg2,True,train,0
37,Ac1Ca1Rh2,True,train,1
38,Ac1Ca1Tl2,True,train,0
39,Ac1Ca1Zn2,True,train,1
40,Ac1Ca3,False,train,1
41,Ac1Cd1Hg2,True,train,2
42,Ac1Cd1Rh2,True,train,0
43,Ac1Cd1Zn2,False,train,4
44,Ac1Cd2La1,True,train,4
45,Ac1Cd2Mg1,True,train,3
46,Ac1Cd2Sr1,True,train,1
47,Ac1Cd2Yb1,True,train,3
48,Ac1Cd3,True,train,3
49,Ac1Ce1Mg2,False,train,4
50,Ac1Ce3,False,train,4
51,Ac1Cl1O1,True,train,4
52,Ac1Cl3,True,train,4
