materials-id,composition,target
0,Eu1 F2,1
1,F2 Yb1,1
2,Eu1 F4 Yb1,0
3,Ac1 F3,1
4,F3 La1,1
6,F4 Th1,1
7,F3 Tm1,1
8,F3 Ho1,1
12,Dy1 F3,1
14,Dy1 F6 Gd1,0
15,Dy1 F6 Y1,0
16,Ba1 F8 Tm2,1
17,Ba1 Er2 F8,1
18,F8 Sr1 Tm2,1
20,Ba1 F8 Lu2,1
21,F6 Gd1 Y1,0
22,F25 K1 Th6,1
23,F3 Pr1,1
24,F3 Y1,1
25,Ba1 F8 Ho2,1
26,Ba1 Dy2 F8,1
27,Ca1 F4 Yb1,0
28,Ce1 F3,1
31,F6 Pr1 Tm1,0
32,F2 O1 Th1,0
33,Dy2 F8 Sr1,0
34,Er1 F6 Sc1,0
35,Ba1 F8 Gd2,1
37,Ce1 F6 Tm1,0
38,Dy1 F6 Sc1,0
39,Ba1 F8 Sm2,1
41,Ba1 F8 Y2,1
43,F4 Sr1 Yb1,0
44,F6 Tb1 Tm1,0
45,F5 Lu3 O2,1
46,Er1 F6 Tb1,0
47,Eu1 F6 Hf1,1
48,Er1 F6 Lu1,0
50,F5 O2 Tm3,1
52,F13 Rb1 Th3,1
53,F6 Hf1 Yb1,1
55,F6 Ho1 Lu1,0
56,F6 Gd1 Lu1,0
57,Dy1 F6 Lu1,0
58,F6 La1 Tb1,0
60,Ba1 F8 Nd2,0
63,Ba1 Ce2 F8,0
64,Ce1 F6 Sm1,0
66,F6 Sm1 Tb1,0
67,Ba1 F8 Pr2,0
68,F3 Tb1,1
70,Er3 F10 Rb1,1
73,F3 Sc1,1
74,Dy3 F10 K1,1
76,Cs1 F10 Tm3,1
77,F9 Rb1 Th2,1
78,F6 Lu1 Sc1,0
79,Ba1 F8 Tb2,1
80,Eu4 F6 O1,0
82,F5 O2 Y3,1
83,Cs1 Er3 F10,1
84,Ce1 F6 Lu1,0
85,F6 Lu1 Tb1,0
86,O2 Th1,1
87,Ba1 F4 Yb1,0
89,F1 O1 Tm1,1
90,F6 Ho1 Sc1,0
91,F9 Na1 Th2,1
92,Ca1 F6 Hf1,1
93,Eu1 F6 Zr1,1
94,Cs1 F10 Ho3,0
95,Ca1 F2,1
96,F6 Yb1 Zr1,1
98,F6 Hf1 Sr1,1
99,Er1 F1 O1,1
100,F7 Rb1 Tm2,1
102,F6 Sc1 Y1,0
105,F10 Ho3 Rb1,0
107,Cs1 Dy3 F10,0
108,F7 Ho2 K1,1
110,Er2 F7 Rb1,1
111,Cs1 F7 Ho2,1
112,F7 K1 Lu2,1
113,F1 Ho1 O1,1
115,F3 Pm1,1
116,Cs1 Dy2 F7,1
118,Dy3 F10 Rb1,0
119,Ca1 F5 Y1,0
121,Cs1 F7 Gd2,1
122,Ca1 F5 Sc1,0
123,Dy2 F7 K1,0
124,Cs2 F25 Th6,0
125,Cs1 F10 Gd3,0
128,Cs1 F10 Y3,0
129,F1 La1 O1,1
130,F7 Sm1 Zr1,0
131,Ce1 F6 Sc1,0
133,F1 Gd1 O1,1
135,F7 Rb1 Y2,1
136,F10 Rb1 Y3,0
137,F7 Hf1 Tb1,0
138,F6 Sc1 Tb1,0
140,Ba1 F2,1
141,Ce1 F7 Zr1,0
144,F10 K1 Tb3,1
145,Al1 Eu1 F5,0
