materials-id,composition,target,outer_split,cv_fold
0,Eu1 F2,1,train,1
1,F2 Yb1,1,train,1
2,Eu1 F4 Yb1,0,train,2
3,Ac1 F3,1,train,2
4,F3 La1,1,train,1
5,F3 Lu1,1,train,0
6,F4 Th1,1,train,4
7,F3 Tm1,1,train,2
8,F3 Ho1,1,train,3
9,Er1 F3,1,test,
10,Dy2 Eu1 F8,0,test,
11,F3 Gd1,1,test,
12,Dy1 F3,1,train,3
13,F3 Sm1,1,train,0
14,Dy1 F6 Gd1,0,train,3
15,Dy1 F6 Y1,0,train,2
16,Ba1 F8 Tm2,1,train,1
17,Ba1 Er2 F8,1,train,3
18,F8 Sr1 Tm2,1,train,1
19,F3 Nd1,1,train,0
20,Ba1 F8 Lu2,1,train,3
21,F6 Gd1 Y1,0,train,3
22,F25 K1 Th6,1,train,1
23,F3 Pr1,1,train,4
24,F3 Y1,1,train,3
25,Ba1 F8 Ho2,1,train,4
26,Ba1 Dy2 F8,1,train,4
27,Ca1 F4 Yb1,0,train,4
28,Ce1 F3,1,train,4
29,Er2 F8 Sr1,0,train,0
30,Ca1 Eu1 F4,0,train,0
31,F6 Pr1 Tm1,0,train,3
32,F2 O1 Th1,0,train,4
33,Dy2 F8 Sr1,0,train,2
34,Er1 F6 Sc1,0,train,2
35,Ba1 F8 Gd2,1,train,1
36,F8 Gd2 Sr1,0,train,0
37,Ce1 F6 Tm1,0,train,3
38,Dy1 F6 Sc1,0,train,4
39,Ba1 F8 Sm2,1,train,2
40,Eu1 F4 Sr1,0,train,0
41,Ba1 F8 Y2,1,train,4
42,F6 Gd1 Sc1,0,test,
43,F4 Sr1 Yb1,0,train,1
44,F6 Tb1 Tm1,0,train,2
45,F5 Lu3 O2,1,train,3
46,Er1 F6 Tb1,0,train,4
47,Eu1 F6 Hf1,1,train,3
48,Er1 F6 Lu1,0,train,4
49,F6 Ho1 Tb1,0,train,0
50,F5 O2 Tm3,1,train,3
51,Cs1 F13 Th3,1,test,
52,F13 Rb1 Th3,1,train,2
53,F6 Hf1 Yb1,1,train,2
54,Er3 F5 O2,1,train,0
55,F6 Ho1 Lu1,0,train,4
56,F6 Gd1 Lu1,0,train,4
57,Dy1 F6 Lu1,0,train,3
58,F6 La1 Tb1,0,train,3
59,F6 Pr1 Sm1,0,train,0
60,Ba1 F8 Nd2,0,train,2
61,F5 Ho3 O2,1,test,
62,Dy3 F5 O2,1,train,0
63,Ba1 Ce2 F8,0,train,1
64,Ce1 F6 Sm1,0,train,4
